work_id,state,constituency,honble_members_of_parliament,work_category,work_description,work_status,status_category,anomaly_score,anomaly_label,anomaly_severity,anomaly_category,triggered_rules,explanation,key_metrics,statistical_score,rule_score,if_score,sanction_amount,total_spent,cost_overrun_ratio,amount_disbursed,sanction_delay_days,completion_duration_days,recommended_date,sanction_date,completion_date,vendor_hhi,vendor_count,payment_count,max_vendor_share,single_vendor_flag,missing_image_flag,payment_still_pending,near_threshold_count,near_threshold_ratio,advance_payment_ratio,amount_vs_category_median,duration_vs_category_median
WS/MP313/2024-2025/140977,Arunachal Pradesh,ARUNACHAL EAST,Shri Tapir Gao,Normal/Others,C/o Culvert near WRC field at 10 mile Sille Block in East Siang District,Work Completed,Completed,0.6818498826385554,True,high,vendor,"R04,R05,R06,R09","This ₹2,000,000 work was completed in only 6 days, which is suspiciously fast for a project of this budget. Completed work worth ₹2,000,000 has no verification photograph attached, which is a compliance gap. 100% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹2,000,000; Disbursed: ₹2,000,000; Cost ratio: 1.00; Sanction delay: 143d; Duration: 6d",0.5143229500119707,0.8125,0.6521975575301793,2000000.0,2000000.0,1.0,2000000.0,143,6.0,2024-09-15,2025-02-05,2025-02-11,1.0,1.0,4.0,1.0,True,True,False,0.0,0.0,0.16485,6.666666666666667,0.02631578947368421
WS/MP18095/2025-2026/147401,Kerala,ALAPPUZHA,K. C VENUGOPAL,Normal/Others,"Purchase of a bus for K V Kumaran Vaidyan Memorial UPS, Cheriyazheekkal",Work partially Completed,Ongoing,0.6778075503818541,True,high,financial,R10,"93% of total funds were disbursed in the first payment, despite having 3.0 total payments, indicating excessive upfront payment.","Sanction: ₹2,100,000; Disbursed: ₹1,905,388; Cost ratio: 0.91; Sanction delay: 293d; Vendor HHI: 0.94",0.6635187116766459,0.75,0.6055082070362648,2100000.0,1905388.0,0.907327619047619,,293,,2024-10-22,2025-08-11,,0.9355496121960865,2.0,3.0,0.9666634827132322,False,False,False,0.0,0.0,0.9313635857893511,7.0,
WS/MP18101/2024-2025/143856,Madhya Pradesh,DAMOH,RAHUL SINGH LODHI,Normal/Others,jila niyalay parisar me nirmit sarvjanin our samudayak bhavn ke pratham tl pr hall nirman,Vendor Identification,Ongoing,0.6762898309705747,True,high,vendor,"R06,R09","100% of all payments (8.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00). All ₹1,781,868 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹1,800,000; Disbursed: ₹1,781,868; Cost ratio: 0.99; Sanction delay: 43d; Vendor HHI: 1.00",0.6244107271510455,0.6875,0.7005347119508953,1800000.0,1781868.0,0.9899266666666666,,43,,2024-09-26,2024-11-08,,1.0,1.0,8.0,1.0,True,False,False,0.0,0.0,0.28243618494748207,6.0,
WS/MP370/2024-2025/145537,Odisha,SUNDARGARH (ST),Shri Jual Oram,Normal/Others,Const. of CC Building at Chungimati,Physical Inspection,Ongoing,0.6742814751484969,True,high,financial,"R06,R10","97% of all payments (7.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.94). 97% of total funds were disbursed in the first payment, despite having 7.0 total payments, indicating excessive upfront payment.","Sanction: ₹700,000; Disbursed: ₹480,880; Cost ratio: 0.69; Sanction delay: 68d; Vendor HHI: 0.94",0.4520458267036982,0.8250000000000001,0.6607714813502066,700000.0,480880.0,0.6869714285714286,,68,,2024-10-04,2024-12-11,,0.9357876591907653,7.0,7.0,0.9671997171851605,False,False,False,0.0,0.0,0.9671997171851605,2.3333333333333335,
WS/MP18109/2024-2025/146898,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,Normal/Others,CHAUPHAL PAWAI ME KHALESEMAR MUKHYA MARG SE BAIGAN BASTI BRIDGE,Vendor Identification,Ongoing,0.6739460977262588,True,high,financial,"R06,R07","100% of all payments (10.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00). 10 out of 10.0 payments (100%) fall just below statutory thresholds, suggesting potential contract splitting.","Sanction: ₹500,000; Disbursed: ₹498,403; Cost ratio: 1.00; Sanction delay: 109d; Vendor HHI: 1.00",0.4285939674371227,0.8250000000000001,0.6765645881913658,500000.0,498403.0,0.996806,,109,,2024-10-11,2025-01-28,,1.0,1.0,10.0,1.0,True,False,False,10.0,1.0,0.10031440420703727,1.6666666666666667,
WS/MP18311/2024-2025/142721,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG,Normal/Others,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM center at village Akabarpur",Vendor Identification,Ongoing,0.6696225581520548,True,high,vendor,R06,"100% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹200,000; Disbursed: ₹77,726; Cost ratio: 0.39; Sanction delay: 41d; Vendor HHI: 1.00",0.4271294312813549,0.75,0.7509720009477602,200000.0,77726.0,0.38863,,41,,2024-09-24,2024-11-04,,1.0,1.0,4.0,1.0,True,False,False,0.0,0.0,0.25731415485165837,0.6666666666666666,
WS/MP18161/2024-2025/136670,Rajasthan,BHARATPUR(SC),SANJNA JATAV,Normal/Others,cc / interlocking sadak nirman karya pooran jatav ke ghar se jhamman ke ghar ki taraf gram -Nagla Dhansingh work agency- GP Indra Colony,Physical Inspection,Completed,0.6616287544738955,True,high,financial,"R06,R10","90% of all payments (15.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.82). 90% of total funds were disbursed in the first payment, despite having 15.0 total payments, indicating excessive upfront payment.","Sanction: ₹397,603; Disbursed: ₹397,603; Cost ratio: 1.00; Sanction delay: 104d; Duration: 107d",0.1673023609871562,0.8250000000000001,0.8280090406488751,397603.0,397603.0,1.0,397603.0,104,107.0,2024-08-21,2024-12-03,2025-03-20,0.8181266436566821,15.0,15.0,0.9040751704589755,False,False,False,0.0,0.0,0.9040751704589755,1.3253433333333333,0.4692982456140351
WS/MP661/2026-2027/147464,Maharashtra,SHIRUR,Amol Ramsing Kolhe,Normal/Others,"installation of High Mast Lighting at 4 different public places at nirgoodsar, Tq. Ambegaon, Dist. Pune",Physical Inspection,Ongoing,0.6555276224158941,True,high,financial,"R03,R07","Sanction was delayed by 580 days after recommendation, far exceeding the typical processing time. 1 out of 1.0 payments (100%) fall just below statutory thresholds, suggesting potential contract splitting.","Sanction: ₹1,000,000; Disbursed: ₹482,614; Cost ratio: 0.48; Sanction delay: 580d; Vendor HHI: 1.00",0.6770993515086263,0.6875,0.6035793843963929,1000000.0,482614.0,0.482614,,580,,2024-10-15,2026-05-18,,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,1.0,3.3333333333333335,
WS/MP18161/2024-2025/136233,Rajasthan,BHARATPUR(SC),SANJNA JATAV,Normal/Others,cc/interlocking sadak nirman karya gurjar bas se mandir ki taraf gram nagla matuwa,Physical Inspection,Completed,0.6538542666261156,True,high,financial,"R06,R10","92% of all payments (15.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.85). 92% of total funds were disbursed in the first payment, despite having 15.0 total payments, indicating excessive upfront payment.","Sanction: ₹596,067; Disbursed: ₹596,067; Cost ratio: 1.00; Sanction delay: 102d; Duration: 112d",0.15883027591133406,0.8250000000000001,0.8118477075665202,596067.0,596067.0,1.0,596067.0,102,112.0,2024-08-18,2024-11-28,2025-03-20,0.8477751878342642,15.0,15.0,0.9204233752245973,False,False,False,0.0,0.0,0.9204233752245973,1.98689,0.49122807017543857
WS/MP18109/2024-2025/146901,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,Normal/Others,SATPAHARA ME DAKSHINI TOLA PAHUCH MARG ME SHANKAR KORI KE GHAR KE PASS BRIDGE NIRMAN,Vendor Identification,Ongoing,0.6537085874835524,True,high,vendor,R06,"100% of all payments (9.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹500,000; Disbursed: ₹479,600; Cost ratio: 0.96; Sanction delay: 109d; Vendor HHI: 1.00",0.428596237413509,0.75,0.7044557946576431,500000.0,479600.0,0.9592,,109,,2024-10-11,2025-01-28,,1.0,1.0,9.0,1.0,True,False,False,1.0,0.1111111111111111,0.10321100917431193,1.6666666666666667,
WS/MP18023/2024-2025/144134,Assam,GUWAHATI,BIJULI KALITA MEDHI,Normal/Others,Construction of Open Stage for Cultural activities at Nagarbera Anchalik Rash Samity . Pin -781127,Physical Inspection,Ongoing,0.6534074086402057,True,high,vendor,R06,"100% of all payments (5.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹800,000; Disbursed: ₹718,100; Cost ratio: 0.90; Sanction delay: 181d; Vendor HHI: 1.00",0.46516808143063676,0.75,0.677472537950133,800000.0,718100.0,0.897625,,181,,2024-09-28,2025-03-28,,1.0,1.0,5.0,1.0,True,False,False,1.0,0.2,0.18890544492410527,2.6666666666666665,
WS/MP18023/2024-2025/143873,Assam,GUWAHATI,BIJULI KALITA MEDHI,Normal/Others,"Construction of Community hall at Boko sahitya sabha , Satadal Shakha , Boko - 781123",Work partially Completed,Ongoing,0.6516296947978916,True,high,vendor,R06,"100% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹500,000; Disbursed: ₹299,879; Cost ratio: 0.60; Sanction delay: 173d; Vendor HHI: 1.00",0.44342092126112814,0.75,0.6879270413788843,500000.0,299879.0,0.599758,,173,,2024-09-26,2025-03-18,,1.0,1.0,4.0,1.0,True,False,False,1.0,0.25,0.41683479003197954,1.6666666666666667,
WS/MP18206/2024-2025/138971,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,Normal/Others,Construction of rooms in  Captain R B singh public school majhiwan,Vendor Identification,Ongoing,0.6509106663866977,True,high,vendor,R06,"100% of all payments (8.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹999,000; Disbursed: ₹980,428; Cost ratio: 0.98; Sanction delay: 72d; Vendor HHI: 1.00",0.4947821577910618,0.75,0.6491860769683778,999000.0,980428.0,0.9814094094094095,,72,,2024-09-05,2024-11-16,,1.0,1.0,8.0,1.0,True,False,False,1.0,0.125,0.3974794681506444,3.33,
WS/MP18206/2024-2025/138972,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,Normal/Others,Construction of hall in captain R B singh  public school majhiwan,Vendor Identification,Ongoing,0.6500707181441951,True,high,vendor,R06,"100% of all payments (9.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹999,000; Disbursed: ₹991,461; Cost ratio: 0.99; Sanction delay: 72d; Vendor HHI: 1.00",0.49478215779106105,0.75,0.6467862248469426,999000.0,991461.0,0.9924534534534535,,72,,2024-09-05,2024-11-16,,1.0,1.0,9.0,1.0,True,False,False,0.0,0.0,0.3977392958472396,3.33,
WS/MP18155/2024-2025/141707,Punjab,HOSHIARPUR(SC),DR. RAJ KUMAR CHABBEWAL,Normal/Others,Construction of Streets & Drains,Physical Inspection,Completed,0.6415825985795507,True,medium,financial,R07,"3 out of 5.0 payments (60%) fall just below statutory thresholds, suggesting potential contract splitting.","Sanction: ₹200,000; Disbursed: ₹200,000; Cost ratio: 1.00; Sanction delay: 4d; Duration: 472d",0.32022820545009845,0.75,0.7472158491915029,200000.0,200000.0,1.0,200000.0,4,472.0,2024-09-19,2024-09-23,2026-01-08,0.583462,3.0,5.0,0.741,False,False,False,3.0,0.6,0.109,0.6666666666666666,2.0701754385964914
WS/MP745/2025-2026/144827,Tamil Nadu,TIRUPPUR,K Subbarayan,Normal/Others,Construction of community Hall H/O vallipuram panchayat.,Work Completed,Completed,0.6396825586749243,True,medium,temporal,"R03,R04,R09","Sanction was delayed by 508 days after recommendation, far exceeding the typical processing time. This ₹5,295,000 work was completed in only 0 days, which is suspiciously fast for a project of this budget. All ₹5,260,434 of expenditure was directed to a single vendor for this large project, raising concentration risk.","Sanction: ₹5,295,000; Disbursed: ₹5,260,434; Cost ratio: 0.99; Sanction delay: 508d; Vendor HHI: 1.00",0.7494984482927656,0.7000000000000001,0.492308418862094,5295000.0,5260434.0,0.993471954674221,5260434.0,508,0.0,2024-09-30,2026-02-20,2026-02-20,1.0,1.0,1.0,1.0,True,False,False,0.0,0.0,1.0,17.65,0.0
WS/MP18206/2024-2025/144721,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,Normal/Others,Construction of rooms and halls in  shree Shivrani Public School Parsenta singhpur block bisanda dist banda,Work partially Completed,Ongoing,0.6390380652125113,True,medium,vendor,R06,"100% of all payments (9.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹999,000; Disbursed: ₹995,362; Cost ratio: 1.00; Sanction delay: 85d; Vendor HHI: 1.00",0.4947819154249802,0.75,0.6152645324464749,999000.0,995361.55,0.9963579079079079,,85,,2024-10-01,2024-12-25,,1.0,1.0,9.0,1.0,True,False,False,2.0,0.2222222222222222,0.4912311008999694,3.33,
WS/MP013/2024-2025/136719,Sikkim,SIKKIM,Indra Hang Subba,Normal/Others,Construction of dry wall and boundary wall for protection of agriculture crops from wild animals within Tomki estate at Middle Luing under Luing Parbing GPU,Work Completed,Completed,0.6379543381741346,True,medium,temporal,"R04,R05","This ₹2,000,000 work was completed in only 0 days, which is suspiciously fast for a project of this budget. Completed work worth ₹1,999,677 has no verification photograph attached, which is a compliance gap.","Sanction: ₹2,000,000; Disbursed: ₹1,999,677; Cost ratio: 1.00; Sanction delay: 69d; Vendor HHI: 0.51",0.5138158620473207,0.6875,0.6700010647494413,2000000.0,1999677.0,0.9998385,1999677.0,69,0.0,2024-08-22,2024-10-30,2024-10-30,0.5092855071077339,2.0,2.0,0.5681377542473109,False,True,False,0.0,0.0,0.5681377542473109,6.666666666666667,0.0
WS/MP18095/2025-2026/139296,Kerala,ALAPPUZHA,K. C VENUGOPAL,Normal/Others,Construction of a building for Anganwadi in the 31st ward of Cherthala Municipality,Vendor Identification,Ongoing,0.6368678455570158,True,medium,financial,"R03,R07","Sanction was delayed by 435 days after recommendation, far exceeding the typical processing time. 1 out of 1.0 payments (100%) fall just below statutory thresholds, suggesting potential contract splitting.","Sanction: ₹1,500,000; Disbursed: ₹482,031; Cost ratio: 0.32; Sanction delay: 435d; Vendor HHI: 1.00",0.6027969351693193,0.6875,0.6033388907562456,1500000.0,482031.0,0.321354,,435,,2024-09-06,2025-11-15,,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,1.0,5.0,
WS/MP18095/2025-2026/139280,Kerala,ALAPPUZHA,K. C VENUGOPAL,Normal/Others,"Purchase of a bus for OLFLPS, Vellappally",Physical Inspection,Completed,0.6316927083479001,True,medium,temporal,"R03,R04,R05","Sanction was delayed by 395 days after recommendation, far exceeding the typical processing time. This ₹2,222,622 work was completed in only 2 days, which is suspiciously fast for a project of this budget. Completed work worth ₹2,222,622 has no verification photograph attached, which is a compliance gap.","Sanction: ₹2,222,622; Disbursed: ₹2,222,622; Cost ratio: 1.00; Sanction delay: 395d; Duration: 2d",0.5815819226814036,0.7000000000000001,0.5894206505072835,2222622.0,2222622.0,1.0,2222622.0,395,2.0,2024-09-06,2025-10-06,2025-10-08,0.9349086083969573,2.0,2.0,0.9663199590393688,False,True,False,0.0,0.0,0.03368004096063118,7.40874,0.008771929824561403
WS/MP18019/2026-2027/139500,Assam,Diphu (ST),AMARSING TISSO,Normal/Others,"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",Physical Inspection,Ongoing,0.6316161798806411,True,medium,temporal,R03,"Sanction was delayed by 693 days after recommendation, far exceeding the typical processing time.","Sanction: ₹5,000,000; Disbursed: ₹4,998,740; Cost ratio: 1.00; Sanction delay: 693d; Vendor HHI: 0.97",0.7492866043480465,0.5,0.6979843679817985,5000000.0,4998740.0,0.999748,,693,,2024-09-06,2026-07-31,,0.9665697212624729,2.0,2.0,0.9829957149201599,False,False,False,0.0,0.0,0.017004285079840118,16.666666666666668,
WS/MP18311/2024-2025/136624,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG,Normal/Others,Construction of drain water,Physical Inspection,Completed,0.6309718691209539,True,medium,vendor,R06,"99% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.98).","Sanction: ₹2,000,000; Disbursed: ₹2,000,000; Cost ratio: 1.00; Sanction delay: 27d; Duration: 505d",0.5143229500119707,0.75,0.5782603760513176,2000000.0,2000000.0,1.0,2000000.0,27,505.0,2024-08-21,2024-09-17,2026-02-04,0.9770204449999998,3.0,4.0,0.9884,False,False,False,0.0,0.0,0.00885,6.666666666666667,2.2149122807017543
WS/MP18023/2024-2025/139962,Assam,GUWAHATI,BIJULI KALITA MEDHI,Normal/Others,"Construction of Public libraries and Reading room at Chamaria High school , Chamaria satra.",Work partially Completed,Ongoing,0.628859154334083,True,medium,vendor,R06,"100% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹500,000; Disbursed: ₹400,650; Cost ratio: 0.80; Sanction delay: 164d; Vendor HHI: 1.00",0.4390575518758495,0.75,0.6259850467574875,500000.0,400650.0,0.8013,,164,,2024-09-08,2025-02-19,,1.0,1.0,4.0,1.0,True,False,False,0.0,0.0,0.39935105453637837,1.6666666666666667,
WS/MP18024/2025-2026/148525,Assam,JORHAT,GAURAV GOGOI,Normal/Others,"Construction of 1 No. Chengelimora Namghar Boundary Wall, Bonamali, Buragohainbari, Desangpani GP",Vendor Identification,Ongoing,0.6284290179909571,True,medium,vendor,R06,"100% of all payments (4.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=1.00).","Sanction: ₹200,000; Disbursed: ₹195,936; Cost ratio: 0.98; Sanction delay: 227d; Vendor HHI: 1.00",0.4708295901340378,0.75,0.6020617727355646,200000.0,195936.0,0.97968,,227,,2024-10-19,2025-06-03,,1.0,1.0,4.0,1.0,True,False,False,1.0,0.25,0.2549403886983505,0.6666666666666666,
WS/MP18161/2024-2025/136674,Rajasthan,BHARATPUR(SC),SANJNA JATAV,Normal/Others,cc / interlocking sadak nirman karya kaare khan ke ghar se sandoli road ki taraf gram patwari ka nagla Chainpura work agency- g p Doroli,Physical Inspection,Completed,0.6212265836499358,True,medium,vendor,R06,"90% of all payments (13.0 transactions) were directed to a single vendor, suggesting vendor monopolization (HHI=0.80).","Sanction: ₹494,706; Disbursed: ₹494,706; Cost ratio: 1.00; Sanction delay: 99d; Duration: 76d",0.17162082516817215,0.75,0.7952039353082649,494706.1,494706.1,1.0,494706.1,99,76.0,2024-08-21,2024-11-28,2025-02-12,0.8044791068338036,12.0,13.0,0.8962818530032276,False,False,False,0.0,0.0,0.8698419121979697,1.6490203333333333,0.3333333333333333
